ID,Description,Size,Factor (m),Offset (b),Type,Decimal Places,Units,Scaled Min,Scaled Max,Raw Min,Raw Max,Encoding Name
76150,"-40.9 to 163.6 °C (0.1,-40.9,1)",1 [3],0.1,-40.9,Unsigned,1,°C,-40.9,163.6,$07FE,$07FF,No Signal
76238,"0 to 10 km/h (1,0,0)",0 [4],1,0,Unsigned,0,km/h,0,10,$0 ,$0A,
76266,"12.7 to 13.33 V (0.01,12.7,2)",0 [6],0.01,12.7,Unsigned,2,V,12.70,13.33,$0 ,$3F,
76290,"90000 to 405000 F(5000,0,0)",0 [6],5000,90000,Unsigned,0,°F,90000,405000,$0 ,$3F,
76326,"0 to 15 (1,0,0)",0 [4],1,0,Unsigned,0,°F,0,15,$0 ,$0F,
82974,_Calendar_Year_1Byte_LC64513,1 [0],1,0,Unsigned,0,year,0,99,$0 ,$63 ,
82974,_Calendar_Year_1Byte_LC64513,1 [0],1,0,Unsigned,0,year,0,99,$64 ,$FE,Invalid Signal
82974,_Calendar_Year_1Byte_LC64513,1 [0],1,0,Unsigned,0,year,0,99,$FF,$FF,Invalid Signal
86001,"0 to 65534 sec (1,0,0)",2 [0],1,0,Unsigned,0,sec,0,65534,$0 ,$FFFE,
86001,"0 to 65534 sec (1,0,0)",2 [0],1,0,Unsigned,0,sec,0,65534,$FFFF,$FFFF,No Signal
86009,"5 to 17.75 V (0.025, 5, 2)",2 [0],0.025,5,Unsigned,2,Volt,5.00,17.75,$0 ,$01FE,
86009,"5 to 17.75 V (0.025, 5, 2)",2 [0],0.025,5,Unsigned,2,Volt,5.00,17.75,$01FF,$01FF,No Signal
86013,"-40 to 85 °C (0.5, -40, 0)",1 [0],0.5,-40,Unsigned,0,°C,-40,85,$0 ,$FA,
86013,"-40 to 85 °C (0.5, -40, 0)",1 [0],0.5,-40,Unsigned,0,°C,-40,85,$FF,$FF,No Signal
86017,"0 to 16382 1/min (1,0,0)",2 [0],1,0,Unsigned,0,1/min,0,16382,$0 ,$3FFE,
86017,"0 to 16382 1/min (1,0,0)",2 [0],1,0,Unsigned,0,1/min,0,16382,$3FFF,$3FFF,No Signal
86037,"0 to 511.875 km/h (0.0625, 0, 3)",2 [0],0.0625,0,Unsigned,3,km/h,0.000,511.875,$0 ,$1FFE,
86037,"0 to 511.875 km/h (0.0625, 0, 3)",2 [0],0.0625,0,Unsigned,3,km/h,0.000,511.875,$1FFF,$1FFF,No Signal
86049,"0 to 1(1,0,0)",0 [1],1,0,Unsigned,0,km/h,0,1,$0 ,$1 ,
104945,"5 - 11.3V (7bits, 0.05, 5, 1)",0 [7],0.05,5,Unsigned,1,V,5.0,11.3,$0 ,$7E,
104949,"0 to 100 % (1,0,0) 7 bits",0 [7],1,0,Unsigned,0,%,0,100,$0 ,$64 ,
104953,"6-18.7V(0.05,0,0)",2 [0],0.05,0,Unsigned,2,V,6.00,18.70,$78 ,$176 ,
104961,"5 to 15V (0.01,5,2) 2 bytes",2 [0],0.01,5,Unsigned,2,V,5.00,15.00,$0 ,3.00E+08,
104965,"0 - 4094 (1,0,0) 2 bytes",2 [0],1,0,Unsigned,0,Days,0,4094,$0 ,$0FFE,
104969,0-252 Ah,0 [7],2,0,Unsigned,0,Ah,0,252,$0 ,$7E,
104989,"-163.84 to 163.68 (0.08,0,2)",1 [4],0.08,0,Signed,2,°/s,-163.84,163.68,$800 ,$07FE,
104993,Message Counter,0 [4],1,0,Unsigned,0,°/s,0,15,$0 ,$0F,
105017,"0 to 511.984 km/h (0.0078125, 0 , 7)",2 [0],0.0078125,0,Unsigned,7,km/h,0.00E+00,511.9843750,$0 ,$FFFE,
107186,_127_to_1333_V_0011272_LC76266,0 [6],0.01,12.7,Unsigned,2,V,12.70,13.33,$0 ,$3F,
107189,_0_to_63_100_LC76286,0 [6],1,0,Unsigned,0,-,0,63,$0 ,$3F,
107192,_0_to_3100_LC76278,0 [2],1,0,Unsigned,0,-,0,3,$0 ,$3 ,
107195,_90000_to_405000_F500000_LC76290,0 [6],5000,90000,Unsigned,0,°F,90000,405000,$0 ,$3F,
107198,_0_to_252_Ah100_LC76274,1 [0],1,0,Unsigned,0,Ah,0,252,$0 ,$FC,
107201,_0_to_254_V0101_LC76270,1 [0],0.1,0,Unsigned,1,V,0.0,25.4,$0 ,$FE,
107207,_3_to_105_Seconds0531_LC76314,0 [4],0.5,3,Unsigned,1,Seconds,3.0,10.5,$0 ,$0F,
