ID,Description,Size,Factor (m),Offset (b),Type,Decimal Places,Units,Scaled Min,Scaled Max,Raw Min,Raw Max,Encoding Name
124932,"5 to 20 MPH (5, 0, 0)",0 [3],5,0,Unsigned,0,MPH,5,20,$01,$04,
124933,"0 to 7 °C (0.5, 0 , 1)",0 [4],0.5,0,Unsigned,1,°C,0.0,7.0,$00,$0E,
124933,"0 to 7 °C (0.5, 0 , 1)",0 [4],,,,,,,,$0F,$0F,Invalid Signal
124934,"10 to 250 Min (10, 0, 0)",0 [5],10,0,Unsigned,0,Minutes,10,250,$01,$19,
124935,"5 to 120 °C (5, 0, 0)",0 [5],5,0,Unsigned,0,,5,120,$01,$18,
124936,"0 to 20.16 V (0.16, 0 , 2) ",0 [7],0.16,0,Unsigned,2,,0.00,20.16,$00,$7E,
124937,0 to 100 b,1 [0],0.4,0,Unsigned,1,%,0.0,100.0,$00,$FA,
124938,"5 to 20 Min (1, 0, 0)",0 [5],1,0,Unsigned,0,minutes,5,20,$05,$14,
124938,"5 to 20 Min (1, 0, 0)",0 [5],,,,,,,,$15,$1F,Invalid Signal
124940,"0 to 10 s (1, 0, 0)",0 [4],1,0,Unsigned,0,s,0,10,$00,$0A,
124941,"0 to 5 Minutes (1,0,0)",0 [3],1,0,Unsigned,0,Minutes,0,5,$00,$05,
124942,"0 to 600 s (10, 0, 0)",0 [6],10,0,Unsigned,0,s,0,600,$00,$3C,
124943,"20 to 50 °F (5, 0, 0)",0 [6],5,0,Unsigned,0,°F,20,50,$04,$0A,
124943,"20 to 50 °F (5, 0, 0)",0 [6],,,,,,,,$33,$3F,Invalid Signal
124944,"0 to 50 Km (1, 0, 0)",0 [6],1,0,Unsigned,0,Km,0,50,$00,$32,
124944,"0 to 50 Km (1, 0, 0)",0 [6],,,,,,,,$33,$3F,Invalid Signal
124945,"0 to 252 Ah (2,0,0)",0 [7],2,0,Unsigned,0,Ah,0,252,$00,$7E,
124946,"0 to 511.9375 km/h (0.0625, 0, 4) (13bit)",1 [5],0.0625,0,Unsigned,4,km/h,0.0000,511.9375,$0000,$1FFF,
